==========================================================
  Yasso07  Chain 3 / 5
  Run ID:  20260601_135824
  Started: 2026-06-01 19:46:10.94577
  Plots:   358 | Iter: 50000 | Cores: 11
==========================================================

Initial ll at best_x: -5200.527

[22:04:01]  eval 38600  |  ll:  -4885.364  |  4.67 eval/s  |  137.8 min  |  -Inf: 5
[22:04:47]  eval 38800  |  ll:  -5235.826  |  4.67 eval/s  |  138.6 min  |  -Inf: 5
[22:05:28]  eval 39000  |  ll:  -5341.694  |  4.67 eval/s  |  139.3 min  |  -Inf: 6
[22:06:09]  eval 39200  |  ll:  -4871.994  |  4.67 eval/s  |  140.0 min  |  -Inf: 6
[22:06:49]  eval 39400  |  ll:  -4887.304  |  4.67 eval/s  |  140.6 min  |  -Inf: 6
[22:07:30]  eval 39600  |  ll:  -6519.785  |  4.67 eval/s  |  141.3 min  |  -Inf: 6
[22:08:15]  eval 39800  |  ll:  -5233.267  |  4.67 eval/s  |  142.1 min  |  -Inf: 6
[22:08:56]  eval 40000  |  ll:  -5093.983  |  4.67 eval/s  |  142.8 min  |  -Inf: 6
[22:09:37]  eval 40200  |  ll:  -4867.693  |  4.67 eval/s  |  143.4 min  |  -Inf: 6
[22:10:18]  eval 40400  |  ll:  -4901.284  |  4.67 eval/s  |  144.1 min  |  -Inf: 6
[22:11:03]  eval 40600  |  ll:  -4949.557  |  4.67 eval/s  |  144.9 min  |  -Inf: 6
[22:11:45]  eval 40800  |  ll:  -4873.579  |  4.67 eval/s  |  145.6 min  |  -Inf: 6
[22:12:27]  eval 41000  |  ll:  -4990.132  |  4.67 eval/s  |  146.3 min  |  -Inf: 6
[22:13:08]  eval 41200  |  ll:  -5127.084  |  4.67 eval/s  |  147.0 min  |  -Inf: 6
[22:13:49]  eval 41400  |  ll:  -4872.595  |  4.67 eval/s  |  147.6 min  |  -Inf: 6
[22:14:35]  eval 41600  |  ll:  -5244.319  |  4.67 eval/s  |  148.4 min  |  -Inf: 6
[22:15:17]  eval 41800  |  ll:  -4923.614  |  4.67 eval/s  |  149.1 min  |  -Inf: 6
[22:15:59]  eval 42000  |  ll:  -4874.630  |  4.67 eval/s  |  149.8 min  |  -Inf: 6
[22:16:40]  eval 42200  |  ll:  -4862.714  |  4.67 eval/s  |  150.5 min  |  -Inf: 6
[22:17:21]  eval 42400  |  ll:  -4870.449  |  4.67 eval/s  |  151.2 min  |  -Inf: 6
[22:18:07]  eval 42600  |  ll:  -5115.959  |  4.67 eval/s  |  151.9 min  |  -Inf: 6
[22:18:48]  eval 42800  |  ll:  -4898.102  |  4.67 eval/s  |  152.6 min  |  -Inf: 6
[22:19:30]  eval 43000  |  ll:  -4911.222  |  4.67 eval/s  |  153.3 min  |  -Inf: 6
[22:20:11]  eval 43200  |  ll:  -6930.294  |  4.67 eval/s  |  154.0 min  |  -Inf: 6
[22:20:52]  eval 43400  |  ll:  -4893.866  |  4.68 eval/s  |  154.7 min  |  -Inf: 6
[22:21:40]  eval 43600  |  ll:  -4867.817  |  4.67 eval/s  |  155.5 min  |  -Inf: 6

Chain 3 finished: 2026-06-01 22:21:42.676598  (155.5 min)
Total evaluations: 43611  |  -Inf rejects: 6 (0.01%)
